LESSON CAVE
SURVEY NAME: Entrance series
SURVEY DATE: 3 7 2026  COMMENT:
SURVEY TEAM:
SCHONEGG, WELLER
DECLINATION: -4.60  FORMAT: DDDDLRUDLADNF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT

A1           A2            32.00    22.60     2.00     2.00     6.00     1.00     2.50
A2           A3            41.50    46.60    -3.00     3.50     6.50     1.00     4.00
A3           A4            28.00     9.60     4.00     2.50     7.00     0.50     5.00
A4           A5            36.00   354.60    -6.00     4.00     5.50     1.50     3.00
A5           A6            24.50    19.60     1.00     3.00     6.00     2.00     3.50

LESSON CAVE
SURVEY NAME: Side lead
SURVEY DATE: 3 14 2026  COMMENT:
SURVEY TEAM:
WELLER, POOLE
DECLINATION: -4.60  FORMAT: DDDDLRUDLADNF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT

A3           B1            19.00   114.60    -8.00     2.50     7.00     0.50     5.00
B1           B2            33.00    99.60    -2.00     2.00     4.00     1.50     2.50
B2           B3            27.50    82.60    -5.00     2.00     5.00     1.00     2.50
B3           B4            21.00    64.60   -10.00     2.50     4.50     1.50     2.00 stopped -- passage continues, low and wet

LESSON CAVE
SURVEY NAME: The loop
SURVEY DATE: 3 21 2026  COMMENT:
SURVEY TEAM:
SCHONEGG, POOLE, HARMON
DECLINATION: -4.60  FORMAT: DDDDLRUDLADNF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT

A6           C1            38.00   209.60     3.00     2.00     5.00     1.00     4.50
C1           C2            44.00   244.60    -1.00     3.00     5.00     1.00     3.50
C2           B2           110.50   117.10    -1.90     2.50     6.00     1.50     3.00 closes the loop back to B2

LESSON CAVE
SURVEY NAME: The big room
SURVEY DATE: 3 28 2026  COMMENT:
SURVEY TEAM:
DUVAL, WELLER, HARMON
DECLINATION: -4.60  FORMAT: DDDDLRUDLADNF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT

A2           D1            22.00   264.60    -2.00     3.50     6.50     1.00     4.00
D1           D2            46.00   304.60     0.50    17.00    13.00     3.00    19.00
D2           D3            39.00    19.60    -0.50    18.00    15.00     3.50    22.00
D3           D1            67.80   157.90    -0.10    20.00    14.00     4.00    16.00
D1           D1.s1         12.00   344.60    60.00    17.00    13.00     3.00    19.00 #|S# ceiling
D1           D1.s2          9.00   204.60   -55.00    17.00    13.00     3.00    19.00 #|S# breakdown block
D2           D2.s3         26.00    59.60     2.00    18.00    15.00     3.50    22.00 #|S# far wall, big room
D2           D2.s4         15.00   344.60   -30.00    18.00    15.00     3.50    22.00 #|S# breakdown, floor of room
D2           D2.s5         11.00   344.60    65.00    18.00    15.00     3.50    22.00 #|S# high ceiling dome
D3           D3.s6         18.00   134.60   -20.00    20.00    14.00     4.00    16.00 #|S# breakdown pile, south side
D3           D3.s7          8.00   254.60    40.00    20.00    14.00     4.00    16.00 #|S# ledge
B4           B4_L           0.00     0.00     0.00     1.50     3.50     2.00     2.00 LRUD carrier

