# geo: A1 38.4795 -86.4381
# geonote: WGS84, southern Indiana karst, synthetic -- not a real entrance
# name: PITFALL CAVE (TEST)
# date: 2026-03-14
# team: N. SCHONEGG, R. WEBB
# declination: -4.66
# unit: ft
# fix: A1 0 0 812.4
# fix: D9 97.055 -814.381 684.589
# startlrud: 3,4.5,6,0
# startnote: ENTRANCE UNDER LEDGE, GATE COMBINATION WITH LANDOWNER
from,to,distance,azimuth,inclination,left,right,up,down,backazimuth,backinclination,flags,notes
A1,A2,28.5,205,-11,3,4,7,1,,,,STEEP MUD SLOPE
A2,A3,33,218.5,-8.5,5,6.5,9,1.5,,,,
A3,A4,42,224,-87.5,4,4,30,2,,,,PIT, 42 FT DROP, BOLT AT LIP
A4,A5,19,196,-3,2.5,2.5,5,0.5,,,,
A5,A6,24.5,232,1.5,0,0,3,0,,,,BODY-WIDTH CANYON
A6,A7,31,244,-4,,,,,,,,LRUD NOT TAKEN, HANDS FULL
A7,A8,37.5,251,-2,6,5,11,1,65.4,2,,
A8,A9,29,238,-6.5,4,4.5,8,1,57.6,2.3,,
A9,A10,22,224,-3,3,3,4,0.5,,,,TIGHT CRAWL, KNEE PADS; WATER 2 IN DEEP
A10,A11,26.5,213,-1.5,5,4,7.5,1,,,,
A11,ENTRANCE-DIG-1,18,300,12,2,2,4,0,,,PL,SURFACE DIG, DAYLIGHT VISIBLE
A11,A12,34,206,-5,7,8,14,2,,,,JUNCTION ROOM
A12,A13,41,158,-2,4,5,8,1,,,,
A13,A14,38,176,-3.5,3.5,4,6,1,,,,
A12,B1,30,246,-2,6,6,10,1.5,,,,
B1,B2,44,232,-4,8,7,13,2,,,,
B2,B3,36.5,214,-1,5,9,11,1,,,,
B3,B4,33,190,-2.5,7,6,9,1.5,,,,
A14,B4,109.74,256.77,-1.28,4,4,7,1,,,,LOOP A TIE-IN TO TRUNK
B4,B5,38.14,240.39,2.8,6.7,7.9,5.3,2.1,,,,
B5,B6,30.79,219.88,-3.53,4.1,3,6.7,1.4,,,,
B6,B7,43.16,190,-2,4,8.7,5,1.7,,,,
B7,B8,44.53,165.18,-3.19,4.6,3.3,10.6,2.2,,,,
B8,B9,21.83,154.62,-1.14,6.6,7.7,4.2,1.3,,,,
B9,B10,18.04,137.61,1.84,2.4,6.7,10.8,2.2,,,,
B10,B11,31,145.61,-1,5,5,8,1,,,,
B10,B11,27,154.61,-1,,,,,,,,RE-READ, TAPE SNAGGED
B11,B12,40,140.61,0.5,14,18,26,2,,,,BIG ROOM, EAST END
B12,B13,46,146.61,-1,21,24,31,3,,,,
B13,B14,38,158.61,-2,,,,,,,,BREAKDOWN, SPLAYS ONLY
B14,B15,30,150.61,-1.5,,,,,,,,
B12,,14.69,354.01,-6.78,,,,,,,,
B12,,33.97,44.93,-7.09,,,,,,,,
B12,,19.57,94.24,-0.8,,,,,,,,
B12,,12.16,134.86,4.52,,,,,,,,
B12,,11.86,184.51,-0.98,,,,,,,,
B12,,24.74,221.94,4.22,,,,,,,,
B12,,18.04,269.64,5.33,,,,,,,,
