PITFALL CAVE (TEST)
SURVEY NAME: ENTRANCE SERIES
SURVEY DATE: 3 14 2026  COMMENT:
SURVEY TEAM:
N. SCHONEGG, R. WEBB
DECLINATION: -4.66  FORMAT: DDDDLRUDLADadBF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT     AZM2     INC2

A1           A2            28.50   209.66   -11.00     3.00     6.00     0.00     4.50  -999.00  -999.00 STEEP MUD SLOPE
A2           A3            33.00   223.16    -8.50     3.00     7.00     1.00     4.00  -999.00  -999.00
A3           A4            42.00   228.66   -87.50     5.00     9.00     1.50     6.50  -999.00  -999.00 PIT, 42 FT DROP, BOLT AT LIP
A4           A5            19.00   200.66    -3.00     4.00    30.00     2.00     4.00  -999.00  -999.00
A5           A6            24.50   236.66     1.50     2.50     5.00     0.50     2.50  -999.00  -999.00 BODY-WIDTH CANYON
A6           A7            31.00   248.66    -4.00     0.00     3.00     0.00     0.00  -999.00  -999.00 LRUD NOT TAKEN, HANDS FULL
A7           A8            37.50   255.66    -2.00    -9.90    -9.90    -9.90    -9.90    70.06     2.00
A8           A9            29.00   242.66    -6.50     6.00    11.00     1.00     5.00    62.26     2.30
A9           A10           22.00   228.66    -3.00     4.00     8.00     1.00     4.50  -999.00  -999.00 TIGHT CRAWL, KNEE PADS; WATER 2 IN DEEP
A10          A11           26.50   217.66    -1.50     3.00     4.00     0.50     3.00  -999.00  -999.00
A11          ENTRANCE-DIG-1  18.00   304.66    12.00     5.00     7.50     1.00     4.00  -999.00  -999.00 #|PL# SURFACE DIG, DAYLIGHT VISIBLE
A11          A12           34.00   210.66    -5.00     5.00     7.50     1.00     4.00  -999.00  -999.00 JUNCTION ROOM
A12          A13           41.00   162.66    -2.00     7.00    14.00     2.00     8.00  -999.00  -999.00
A13          A14           38.00   180.66    -3.50     4.00     8.00     1.00     5.00  -999.00  -999.00

PITFALL CAVE (TEST)
SURVEY NAME: MAIN TRUNK
SURVEY DATE: 4 11 2026  COMMENT:
SURVEY TEAM:
N. SCHONEGG, T. HALE
DECLINATION: -4.66  FORMAT: DDDDLRUDLADadBF  CORRECTIONS: 0.00 0.00 0.00

